facility_id,name,source_system,station_code,facility_type,latitude,longitude,physical_address_formatted,physical_address_line1,physical_address_line2,physical_address_city,physical_address_state,physical_address_postal_code,physical_address_country,physical_address_source,physical_address_confidence,public_phone,website_url
nca_042,Baxter Springs City Soldiers' Lot,discoverva_va_locator_facility_list,042,va_cemetery,37.0320575,,"Baxter Springs, KS",,,Baxter Springs,KS,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
nca_054,Congressional Cemetery Government Lots,discoverva_va_locator_facility_list,054,va_cemetery,38.8827797,,"Washington, DC",,,Washington,DC,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
nca_055,Evergreen Cemetery Soldiers' Lot,discoverva_va_locator_facility_list,055,va_cemetery,39.0696513,,"Southgate, KY",,,Southgate,KY,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
nca_058,Forest Lawn Cemetery Soldiers' Lot,discoverva_va_locator_facility_list,058,va_cemetery,41.3312428,,"Omaha, NE",,,Omaha,NE,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
nca_059,Fort Crawford Cemetery Soldiers' Lot,discoverva_va_locator_facility_list,059,va_cemetery,43.0470782,,"Prairie du Chien, WI",,,Prairie du Chien,WI,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
nca_061,Green Mount Cemetery Soldiers' Lot,discoverva_va_locator_facility_list,061,va_cemetery,44.2573071,,"Montpelier, VT",,,Montpelier,VT,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
nca_062,Lakeside Cemetery Soldiers' Lot,discoverva_va_locator_facility_list,062,va_cemetery,43.0173537,,"Port Huron, MI",,,Port Huron,MI,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
nca_063,Mound Cemetery Soldiers' Lot,discoverva_va_locator_facility_list,063,va_cemetery,42.7193155,,"Racine, WI",,,Racine,WI,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
nca_064,Mound City Cemetery Soldiers' Lot,discoverva_va_locator_facility_list,064,va_cemetery,38.145552,,"Mound City, KS",,,Mound City,KS,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
nca_065,Mount Moriah Cemetery Soldiers' Lot,discoverva_va_locator_facility_list,065,va_cemetery,39.9324553,,"Philadelphia, PA",,,Philadelphia,PA,,US,current_record,record_field,,https://discover.va.gov/va-locator-facility-list/
