facility_id,name,facility_type,classification,visn,station_code,station_code_confidence,approval_state,source_system,source_snapshot_utc,source_url,website,lat,long
nca_042,Baxter Springs City Soldiers' Lot,va_cemetery,Soldiers Lot,,042,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/BaxterSprings.asp,37.0320575,-94.7706605
nca_054,Congressional Cemetery Government Lots,va_cemetery,Government Lots,,054,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/Congressional.asp,38.8827797,-76.9790111
nca_055,Evergreen Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,055,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/Evergreen.asp,39.0696513,-84.4688541
nca_058,Forest Lawn Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,058,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/ForestLawn.asp,41.3312428,-95.9936119
nca_059,Fort Crawford Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,059,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/Fort_Crawford.asp,43.0470782,-91.1464848
nca_061,Green Mount Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,061,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/Green_Mount.asp,44.2573071,-72.599746
nca_062,Lakeside Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,062,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/Lakeside.asp,43.0173537,-82.4326933
nca_063,Mound Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,063,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/Mound.asp,42.7193155,-87.8160956
nca_064,Mound City Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,064,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/MoundCity.asp,38.145552,-94.8132282
nca_065,Mount Moriah Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,065,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/MountMoriah.asp,39.9324553,-75.2367967
nca_066,Mount Moriah Cemetery Naval Plot,va_cemetery,Government Lots,,066,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/MountMoriah_Naval.asp,39.9366809,-75.241257
nca_067,Mount Pleasant Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,067,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/MountPleasant.asp,44.3171994,-69.7891925
nca_068,Oakdale Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,068,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/Oakdale.asp,41.5449264,-90.5513845
nca_069,Prospect Hill Cemetery Soldiers' Lot,va_cemetery,Soldiers Lot,,069,derived,review_pending,discoverva_va_locator_facility_list,2026-05-05T16:33:37+00:00,https://discover.va.gov/va-locator-facility-list/,https://www.cem.va.gov/cems/lots/ProspectHill_PA.asp,39.9719974,-76.7320498
